uid	en	zh	status	model	flags
u01924	!{Already equipped}CountUpgrade(TitaniumBulletCasingsEquipped,CompleteOnly)	!{已装备}CountUpgrade(TitaniumBulletCasingsEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01925	!{Cannot be used after dropships are fueled}CountUpgrade(DropshipsFueled,QueuedOrBetter)	!{运输船加注燃料后无法使用}CountUpgrade(DropshipsFueled,QueuedOrBetter)	warn	deepseek-flash	glossary?Upgrade
u01880	!{Already Equipped}CountUpgrade(SpiderMineEquipped,CompleteOnly)	!{已装备}CountUpgrade(SpiderMineEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01881	!{Already Equipped}CountUpgrade(StimpackEquipped,CompleteOnly)	!{已装备}CountUpgrade(StimpackEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01882	!{Already Equipped}CountUpgrade(TESTEquippedExplorationDroidEquipped,CompleteOnly)	!{已装备}CountUpgrade(TESTEquippedExplorationDroidEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01883	!{Already Equipped}CountUpgrade(UnknownUpgrade2,CompleteOnly)	!{已装备}CountUpgrade(UnknownUpgrade2,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01884	!{Already equipped}CountUpgrade(AdvancedRocketThrustersEquipped,CompleteOnly)	!{已装备}CountUpgrade(AdvancedRocketThrustersEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01885	!{Already equipped}CountUpgrade(ArcWelderMod1Equipped,CompleteOnly)	!{已装备}CountUpgrade(ArcWelderMod1Equipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01886	!{Already equipped}CountUpgrade(ArcWelderMod2Equipped,CompleteOnly)	!{已装备}CountUpgrade(ArcWelderMod2Equipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01887	!{Already equipped}CountUpgrade(ArcWelderMod3Equipped,CompleteOnly)	!{已装备}CountUpgrade(ArcWelderMod3Equipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01888	!{Already equipped}CountUpgrade(AresMod10Equipped,CompleteOnly)	!{已装备}CountUpgrade(AresMod10Equipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01889	!{Already equipped}CountUpgrade(AresMod1Equipped,CompleteOnly)	!{已装备}CountUpgrade(AresMod1Equipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01890	!{Already equipped}CountUpgrade(AresMod2Equipped,CompleteOnly)	!{已装备}CountUpgrade(AresMod2Equipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01891	!{Already equipped}CountUpgrade(AresMod3Equipped,CompleteOnly)	!{已装备}CountUpgrade(AresMod3Equipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01892	!{Already equipped}CountUpgrade(AresMod4Equipped,CompleteOnly)	!{已装备}CountUpgrade(AresMod4Equipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01893	!{Already equipped}CountUpgrade(AresMod5Equipped,CompleteOnly)	!{已装备}CountUpgrade(AresMod5Equipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01894	!{Already equipped}CountUpgrade(AresMod6Equipped,CompleteOnly)	!{已装备}CountUpgrade(AresMod6Equipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01895	!{Already equipped}CountUpgrade(AresMod7Equipped,CompleteOnly)	!{已装备}CountUpgrade(AresMod7Equipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01896	!{Already equipped}CountUpgrade(AresMod8Equipped,CompleteOnly)	!{已装备}CountUpgrade(AresMod8Equipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01897	!{Already equipped}CountUpgrade(AresMod9Equipped,CompleteOnly)	!{已装备}CountUpgrade(AresMod9Equipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01898	!{Already equipped}CountUpgrade(AutoTargetingSystemEquipped,CompleteOnly)	!{已装备}CountUpgrade(AutoTargetingSystemEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01899	!{Already equipped}CountUpgrade(BayonetteEquipped,CompleteOnly)	!{已装备}CountUpgrade(BayonetteEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01900	!{Already equipped}CountUpgrade(CombatSuitEquipped,CompleteOnly)	!{已装备}CountUpgrade(CombatSuitEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01901	!{Already equipped}CountUpgrade(ConcussiveBeamsEquipped,CompleteOnly)	!{已装备}CountUpgrade(ConcussiveBeamsEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01902	!{Already equipped}CountUpgrade(ConcussivePlasmaEquipped,CompleteOnly)	!{已装备}CountUpgrade(ConcussivePlasmaEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01903	!{Already equipped}CountUpgrade(ConcussiveShotEquipped,CompleteOnly)	!{已装备}CountUpgrade(ConcussiveShotEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01857	!{Already Equipped}CountUpgrade(ArcWelderEquipped,CompleteOnly)	!{已装备}CountUpgrade(ArcWelderEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01858	!{Already Equipped}CountUpgrade(AssaultRifleEquipped,CompleteOnly)	!{已装备}CountUpgrade(AssaultRifleEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01859	!{Already Equipped}CountUpgrade(AutoTurretEquipped,CompleteOnly)	!{已装备}CountUpgrade(AutoTurretEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01860	!{Already Equipped}CountUpgrade(BeamRifleEquipped,CompleteOnly)	!{已装备}CountUpgrade(BeamRifleEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01861	!{Already Equipped}CountUpgrade(BioMechanicalRepairDroneEquipped,CompleteOnly)	!{已装备}CountUpgrade(BioMechanicalRepairDroneEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01862	!{Already Equipped}CountUpgrade(CombatShieldEquipped,CompleteOnly)	!{已装备}CountUpgrade(CombatShieldEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01863	!{Already Equipped}CountUpgrade(DefensiveMatrixEquipped,CompleteOnly)	!{已装备}CountUpgrade(DefensiveMatrixEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01864	!{Already Equipped}CountUpgrade(EnergyPackEquipped,CompleteOnly)	!{已装备}CountUpgrade(EnergyPackEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01865	!{Already Equipped}CountUpgrade(FlamethrowerEquipped,CompleteOnly)	!{已装备}CountUpgrade(FlamethrowerEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01866	!{Already Equipped}CountUpgrade(FlashBangEquipped,CompleteOnly)	!{已装备}CountUpgrade(FlashBangEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01867	!{Already Equipped}CountUpgrade(HellfireRocketLauncherEquipped,CompleteOnly)	!{已装备}CountUpgrade(HellfireRocketLauncherEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01868	!{Already Equipped}CountUpgrade(MedicShieldEquipped,CompleteOnly)	!{已装备}CountUpgrade(MedicShieldEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Medic
u01869	!{Already Equipped}CountUpgrade(MedkitEquipped,CompleteOnly)	!{已装备}CountUpgrade(MedkitEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01870	!{Already Equipped}CountUpgrade(MiningChargeEquipped,CompleteOnly)	!{已装备}CountUpgrade(MiningChargeEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01871	!{Already Equipped}CountUpgrade(MiningDroidEquipped,CompleteOnly)	!{已装备}CountUpgrade(MiningDroidEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01872	!{Already Equipped}CountUpgrade(MotionSensorEquipped,CompleteOnly)	!{已装备}CountUpgrade(MotionSensorEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01873	!{Already Equipped}CountUpgrade(OpticalVisorEquipped,CompleteOnly)	!{已装备}CountUpgrade(OpticalVisorEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01874	!{Already Equipped}CountUpgrade(OverloadWeaponEquipped,CompleteOnly)	!{已装备}CountUpgrade(OverloadWeaponEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01875	!{Already Equipped}CountUpgrade(PhasesaberEquipped,CompleteOnly)	!{已装备}CountUpgrade(PhasesaberEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01876	!{Already Equipped}CountUpgrade(PsiDisrupterEquipped,CompleteOnly)	!{已装备}CountUpgrade(PsiDisrupterEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01877	!{Already Equipped}CountUpgrade(QuantumBackpackEquipped,CompleteOnly)	!{已装备}CountUpgrade(QuantumBackpackEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01878	!{Already Equipped}CountUpgrade(ShotgunEquipped,CompleteOnly)	!{已装备}CountUpgrade(ShotgunEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01879	!{Already Equipped}CountUpgrade(Shotgunequipped,CompleteOnly)	!{已装备}CountUpgrade(Shotgunequipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01813	!CountUpgrade(SpawnNydusWorm,QueuedOrBetter)	!CountUpgrade(SpawnNydusWorm,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01814	!CountUpgrade(SpecOpsArcWelder,QueuedOrBetter)	!CountUpgrade(SpecOpsArcWelder,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01815	!CountUpgrade(SpecOpsAresUnlocked,QueuedOrBetter)	!CountUpgrade(SpecOpsAresUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01816	!CountUpgrade(SpecOpsAssaultRifle,QueuedOrBetter)	!CountUpgrade(SpecOpsAssaultRifle,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01817	!CountUpgrade(SpecOpsBioMechanicalRepairDrone,QueuedOrBetter)	!CountUpgrade(SpecOpsBioMechanicalRepairDrone,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01818	!CountUpgrade(SpecOpsBioMechanicalRepairDroneUnlocked,QueuedOrBetter)	!CountUpgrade(SpecOpsBioMechanicalRepairDroneUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01819	!CountUpgrade(SpecOpsCloakingDeviceUnlocked,QueuedOrBetter)	!CountUpgrade(SpecOpsCloakingDeviceUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01820	!CountUpgrade(SpecOpsFlamethrower,QueuedOrBetter)	!CountUpgrade(SpecOpsFlamethrower,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01821	!CountUpgrade(SpecOpsFlashbang,QueuedOrBetter)	!CountUpgrade(SpecOpsFlashbang,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01822	!CountUpgrade(SpecOpsForcefieldGrenade,QueuedOrBetter)	!CountUpgrade(SpecOpsForcefieldGrenade,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01823	!CountUpgrade(SpecOpsFragGrenade,QueuedOrBetter)	!CountUpgrade(SpecOpsFragGrenade,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01824	!CountUpgrade(SpecOpsHellfireRocketLauncher,QueuedOrBetter)	!CountUpgrade(SpecOpsHellfireRocketLauncher,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01825	!CountUpgrade(SpecOpsIncendiaryGrenade,QueuedOrBetter)	!CountUpgrade(SpecOpsIncendiaryGrenade,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01826	!CountUpgrade(SpecOpsPhasesaber,QueuedOrBetter)	!CountUpgrade(SpecOpsPhasesaber,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01827	!CountUpgrade(SpecOpsPlasmaRifle,QueuedOrBetter)	!CountUpgrade(SpecOpsPlasmaRifle,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01828	!CountUpgrade(SpecOpsPowerConverterUnlocked,QueuedOrBetter)	!CountUpgrade(SpecOpsPowerConverterUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01829	!CountUpgrade(SpecOpsPowerConverterUnlocked,QueuedOrBetter) && !CountUpgrade(TeleporterUnlocked,InProgressOrBetter) && !CountUpgrade(CloakingDeviceUnlocked,QueuedOrBetter) && !CountUpgrade(SuperStimpackUnlocked,QueuedOrBetter) && !CountUpgrade(SuperHealingDroneUnlocked,QueuedOrBetter) && !CountUpgrade(ArcWelderUnlocked,QueuedOrBetter)	!CountUpgrade(SpecOpsPowerConverterUnlocked,QueuedOrBetter) && !CountUpgrade(TeleporterUnlocked,InProgressOrBetter) && !CountUpgrade(CloakingDeviceUnlocked,QueuedOrBetter) && !CountUpgrade(SuperStimpackUnlocked,QueuedOrBetter) && !CountUpgrade(SuperHealingDroneUnlocked,QueuedOrBetter) && !CountUpgrade(ArcWelderUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01830	!CountUpgrade(SpecOpsPowerConverterUnlocked,QueuedOrBetter) && !CountUpgrade(TeleporterUnlocked,InProgressOrBetter) && !CountUpgrade(CloakingDeviceUnlocked,QueuedOrBetter) && !CountUpgrade(SuperStimpackUnlocked,QueuedOrBetter) && !CountUpgrade(SuperHealingDroneUnlocked,QueuedOrBetter) && !CountUpgrade(ArcWelderUnlocked,QueuedOrBetter) && !CountUpgrade(AresUnlocked,QueuedOrBetter) && !CountUpgrade(PhasesaberUnlocked,QueuedOrBetter)	!CountUpgrade(SpecOpsPowerConverterUnlocked,QueuedOrBetter) && !CountUpgrade(TeleporterUnlocked,InProgressOrBetter) && !CountUpgrade(CloakingDeviceUnlocked,QueuedOrBetter) && !CountUpgrade(SuperStimpackUnlocked,QueuedOrBetter) && !CountUpgrade(SuperHealingDroneUnlocked,QueuedOrBetter) && !CountUpgrade(ArcWelderUnlocked,QueuedOrBetter) && !CountUpgrade(AresUnlocked,QueuedOrBetter) && !CountUpgrade(PhasesaberUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01831	!CountUpgrade(SpecOpsPsiDisruptor,QueuedOrBetter)	!CountUpgrade(SpecOpsPsiDisruptor,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01832	!CountUpgrade(SpecOpsPsiDisruptorUnlocked,QueuedOrBetter)	!CountUpgrade(SpecOpsPsiDisruptorUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01833	!CountUpgrade(SpecOpsShotgun,QueuedOrBetter)[TechTreeCheat]	!CountUpgrade(SpecOpsShotgun,QueuedOrBetter)[TechTreeCheat]	warn	deepseek-flash	untranslated,glossary?Upgrade
u01834	!CountUpgrade(SpecOpsSuperHealingDrone,QueuedOrBetter)	!CountUpgrade(SpecOpsSuperHealingDrone,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01835	!CountUpgrade(SpecOpsSuperStimpackUnlocked,InProgressOrBetter)	!CountUpgrade(SpecOpsSuperStimpackUnlocked,InProgressOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01836	!CountUpgrade(SpecOpsTeleporterUnlocked,InProgressOrBetter)	!CountUpgrade(SpecOpsTeleporterUnlocked,InProgressOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01837	!CountUpgrade(SpecOpsTurretUnlocked,QueuedOrBetter)	!CountUpgrade(SpecOpsTurretUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01838	!CountUpgrade(SpiderMineUnlocked,QueuedOrBetter)	!CountUpgrade(SpiderMineUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01839	!CountUpgrade(StimpackUnlocked,QueuedOrBetter)	!CountUpgrade(StimpackUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01840	!CountUpgrade(SuperHealingDroneUnlocked,QueuedOrBetter)	!CountUpgrade(SuperHealingDroneUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01841	!CountUpgrade(SuperStimpackUnlocked,QueuedOrBetter)	!CountUpgrade(SuperStimpackUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01842	!CountUpgrade(SweepingInfestation,QueuedOrBetter)	!CountUpgrade(SweepingInfestation,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Infestation
u01843	!CountUpgrade(SweepingInfestation,QueuedOrBetter) && !CountUpgrade(SpawnHiveQueen,InProgressOrBetter) && !CountUpgrade(NydusNetwork,QueuedOrBetter) && !CountUpgrade(CriticalMass,QueuedOrBetter) && !CountUpgrade(Blackout,QueuedOrBetter)	!CountUpgrade(SweepingInfestation,QueuedOrBetter) && !CountUpgrade(SpawnHiveQueen,InProgressOrBetter) && !CountUpgrade(NydusNetwork,QueuedOrBetter) && !CountUpgrade(CriticalMass,QueuedOrBetter) && !CountUpgrade(Blackout,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Queen
u01844	!CountUpgrade(TankStrain,CompleteOnly)	!CountUpgrade(TankStrain,CompleteOnly)	warn	deepseek-flash	untranslated,glossary?Strain
u01845	!CountUpgrade(TeleporterUnlocked,InProgressOrBetter)	!CountUpgrade(TeleporterUnlocked,InProgressOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01846	!CountUpgrade(TeleporterUnlocked,QueuedOrBetter)	!CountUpgrade(TeleporterUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01847	!CountUpgrade(ThermiteFilamentsEquipped,QueuedOrBetter)	!CountUpgrade(ThermiteFilamentsEquipped,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01848	!CountUpgrade(ThermiteFilamentsUnlocked,QueuedOrBetter)	!CountUpgrade(ThermiteFilamentsUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01849	!CountUpgrade(TitaniumBulletCasingsEquipped,QueuedOrBetter)	!CountUpgrade(TitaniumBulletCasingsEquipped,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01850	!CountUpgrade(TitaniumBulletCasingsUnlocked,QueuedOrBetter)	!CountUpgrade(TitaniumBulletCasingsUnlocked,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01851	!CountUpgrade(TurboDroidEngines,QueuedOrBetter)	!CountUpgrade(TurboDroidEngines,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01852	!CountUpgrade(UltimateInfestationResearched,QueuedOrBetter)	!CountUpgrade(UltimateInfestationResearched,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Infestation
u01853	!CountUpgrade(UnknownUpgrade,QueuedOrBetter)	!CountUpgrade(UnknownUpgrade,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01854	!CountUpgrade(UnknownUpgrade2,CompleteOnly)	!CountUpgrade(UnknownUpgrade2,CompleteOnly)	warn	deepseek-flash	untranslated,glossary?Upgrade
u01855	!CountUpgrade(UnlockDropPods,QueuedOrBetter)	!CountUpgrade(UnlockDropPods,QueuedOrBetter)	warn	deepseek-flash	untranslated,glossary?Unlock
u01856	!{Already Equipped}CountUpgrade(AIAssistantEquipped,CompleteOnly)	!{已装备}CountUpgrade(AIAssistantEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Upgrade
u01955	!{Must not already be present}CountBehavior(Reinforcement9Alive,CompleteOnlyAtUnit)	!{必须尚未存在}CountBehavior(Reinforcement9Alive,CompleteOnlyAtUnit)	ok	deepseek-flash	
u01956	!{Must not already be present}CountBehavior(Reinforcement9Alive,CompleteOnlyAtUnit) && CountBehavior(InfestationPreventingSecurityUnits,CompleteOnlyAtUnit) < {Must be 7 or less infestation preventing security units}9	!{必须尚未存在}CountBehavior(Reinforcement9Alive,CompleteOnlyAtUnit) && CountBehavior(InfestationPreventingSecurityUnits,CompleteOnlyAtUnit) < {阻止感染的安保单位必须为 7 或更少}9	ok	deepseek-flash	
u01957	!{Must not be in sub level}CountBehavior(Cold2,CompleteOnlyAtUnit)	!{不能位于地下层}CountBehavior(Cold2,CompleteOnlyAtUnit)	ok	deepseek-flash	
u01959	() || {Must be near a weapons locker}()	() || {必须位于武器柜附近}()	ok	deepseek-flash	
u01960	(CountBehavior(NearWeaponsLocker,CompleteOnlyAtUnit) || {Must be near a weapons locker}CountUpgrade(QuantumBackpackEquipped,CompleteOnly)) && !CountBehavior(DisabledMech,CompleteOnlyAtUnit)	(CountBehavior(NearWeaponsLocker,CompleteOnlyAtUnit) || {必须位于武器柜附近}CountUpgrade(QuantumBackpackEquipped,CompleteOnly)) && !CountBehavior(DisabledMech,CompleteOnlyAtUnit)	warn	deepseek-flash	glossary?Locker
u01961	(CountBehavior(NearWeaponsLocker,CompleteOnlyAtUnit){Must be near a weapons locker} || {Must be near a weapons locker}CountUpgrade(QuantumBackpackEquipped,CompleteOnly)) && !{Already Equipped}CountUpgrade(AutoTurretEquipped,CompleteOnly)	(CountBehavior(NearWeaponsLocker,CompleteOnlyAtUnit){必须位于武器柜附近} || {必须位于武器柜附近}CountUpgrade(QuantumBackpackEquipped,CompleteOnly)) && !{已装备}CountUpgrade(AutoTurretEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Locker
u01962	(CountBehavior(NearWeaponsLocker,CompleteOnlyAtUnit){Must be near a weapons locker} || {Must be near a weapons locker}CountUpgrade(QuantumBackpackEquipped,CompleteOnly)) && !{Already Equipped}CountUpgrade(BioMechanicalRepairDroneEquipped,CompleteOnly)	(CountBehavior(NearWeaponsLocker,CompleteOnlyAtUnit){必须位于武器柜附近} || {必须位于武器柜附近}CountUpgrade(QuantumBackpackEquipped,CompleteOnly)) && !{已装备}CountUpgrade(BioMechanicalRepairDroneEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Locker
u01963	(CountBehavior(NearWeaponsLocker,CompleteOnlyAtUnit){Must be near a weapons locker} || {Must be near a weapons locker}CountUpgrade(QuantumBackpackEquipped,CompleteOnly)) && !{Already Equipped}CountUpgrade(FlashBangEquipped,CompleteOnly)	(CountBehavior(NearWeaponsLocker,CompleteOnlyAtUnit){必须位于武器柜附近} || {必须位于武器柜附近}CountUpgrade(QuantumBackpackEquipped,CompleteOnly)) && !{已装备}CountUpgrade(FlashBangEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Locker
u01964	(CountBehavior(NearWeaponsLocker,CompleteOnlyAtUnit){Must be near a weapons locker} || {Must be near a weapons locker}CountUpgrade(QuantumBackpackEquipped,CompleteOnly)) && !{Already Equipped}CountUpgrade(MiningChargeEquipped,CompleteOnly)	(CountBehavior(NearWeaponsLocker,CompleteOnlyAtUnit){必须位于武器柜附近} || {必须位于武器柜附近}CountUpgrade(QuantumBackpackEquipped,CompleteOnly)) && !{已装备}CountUpgrade(MiningChargeEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Locker
u01965	(CountBehavior(NearWeaponsLocker,CompleteOnlyAtUnit){Must be near a weapons locker} || {Must be near a weapons locker}CountUpgrade(QuantumBackpackEquipped,CompleteOnly)) && !{Already Equipped}CountUpgrade(MiningDroidEquipped,CompleteOnly)	(CountBehavior(NearWeaponsLocker,CompleteOnlyAtUnit){必须位于武器柜附近} || {必须位于武器柜附近}CountUpgrade(QuantumBackpackEquipped,CompleteOnly)) && !{已装备}CountUpgrade(MiningDroidEquipped,CompleteOnly)	warn	deepseek-flash	glossary?Locker
u01940	!{Limit 1}CountUpgrade(BuildVirophageDelta,CompleteOnly) && CountUpgrade(VirophageroominfestedDelta,CompleteOnly){Infest room near hangar} && !{Cannot be used after dropships are fueled}CountUpgrade(DropshipsFueled,QueuedOrBetter)	!{限制 1}CountUpgrade(BuildVirophageDelta,CompleteOnly) && CountUpgrade(VirophageroominfestedDelta,CompleteOnly){感染机库附近的房间} && !{运输船加注燃料后无法使用}CountUpgrade(DropshipsFueled,QueuedOrBetter)	warn	deepseek-flash	glossary?Virophage
u01941	!{Limit of one ultimate infestation}CountUpgrade(UltimateInfestationResearched,QueuedOrBetter)	!{仅限一次终极感染}CountUpgrade(UltimateInfestationResearched,QueuedOrBetter)	warn	deepseek-flash	glossary?Upgrade
u01942	!{Must be landed}CountBehavior(FlyingQueen,CompleteOnlyAtUnit)	!{必须着陆}CountBehavior(FlyingQueen,CompleteOnlyAtUnit)	warn	deepseek-flash	glossary?Queen
u01943	!{Must not already be present}CountBehavior(Reinforcement10Alive,CompleteOnlyAtUnit)	!{不得已存在}CountBehavior(Reinforcement10Alive,CompleteOnlyAtUnit)	ok	deepseek-flash	
u01944	!{Must not already be present}CountBehavior(Reinforcement10Alive,CompleteOnlyAtUnit) && CountBehavior(InfestationPreventingSecurityUnits,CompleteOnlyAtUnit) < {Must be 0 infestation preventing security units}2	!{不得已存在}CountBehavior(Reinforcement10Alive,CompleteOnlyAtUnit) && CountBehavior(InfestationPreventingSecurityUnits,CompleteOnlyAtUnit) < {阻止安保单位的感染数量必须为 0}2	ok	deepseek-flash	
u01945	!{Must not already be present}CountBehavior(Reinforcement1Alive,CompleteOnlyAtUnit)	!{不得已存在}CountBehavior(Reinforcement1Alive,CompleteOnlyAtUnit)	ok	deepseek-flash	
u01946	!{Must not already be present}CountBehavior(Reinforcement2Alive,CompleteOnlyAtUnit)	!{不得已存在}CountBehavior(Reinforcement2Alive,CompleteOnlyAtUnit)	ok	deepseek-flash	
u01947	!{Must not already be present}CountBehavior(Reinforcement3Alive,CompleteOnlyAtUnit)	!{不得已存在}CountBehavior(Reinforcement3Alive,CompleteOnlyAtUnit)	ok	deepseek-flash	
u01948	!{Must not already be present}CountBehavior(Reinforcement4Alive,CompleteOnlyAtUnit)	!{不得已存在}CountBehavior(Reinforcement4Alive,CompleteOnlyAtUnit)	ok	deepseek-flash	
u01949	!{Must not already be present}CountBehavior(Reinforcement5Alive,CompleteOnlyAtUnit)	!{不得已存在}CountBehavior(Reinforcement5Alive,CompleteOnlyAtUnit)	ok	deepseek-flash	
u01950	!{Must not already be present}CountBehavior(Reinforcement6Alive,CompleteOnlyAtUnit)	!{不得已存在}CountBehavior(Reinforcement6Alive,CompleteOnlyAtUnit)	ok	deepseek-flash	
u01951	!{Must not already be present}CountBehavior(Reinforcement7Alive,CompleteOnlyAtUnit)	!{不得已存在}CountBehavior(Reinforcement7Alive,CompleteOnlyAtUnit)	ok	deepseek-flash	
u01952	!{Must not already be present}CountBehavior(Reinforcement7Alive,CompleteOnlyAtUnit) && CountBehavior(InfestationPreventingSecurityUnits,CompleteOnlyAtUnit) < {Must be 20 or less infestation preventing security units}22	!{不得已存在}CountBehavior(Reinforcement7Alive,CompleteOnlyAtUnit) && CountBehavior(InfestationPreventingSecurityUnits,CompleteOnlyAtUnit) < {阻止安保单位的感染数量必须不超过 20}22	ok	deepseek-flash	
u01953	!{Must not already be present}CountBehavior(Reinforcement8Alive,CompleteOnlyAtUnit)	!{不得已存在}CountBehavior(Reinforcement8Alive,CompleteOnlyAtUnit)	ok	deepseek-flash	
